Firm Name,Paid post appeal,Case closed count,Deduction fee,Deduction expense,Billed units fee,Billed expense,Billed fee,Paid fee,Paid expense,Cycle time,L100,L200,L300,L400,L500,Win rate proxy,Cost per case,Fee per unit,Cluster,Cluster_name,state_list,Firm_Profile
"Phillips & Garcia, LLP",282623.25,183,1321.37,79.33,1528.84,3582.6,21237.29,16030.82,2522.07,1539.19,1,1,1,1,0,0.755,101.38,13.89,2,Outcome Specialists,,#N/A
"Carter, Davis & Partners",1572802.51,83,7359.08,2290.66,9516.25,19900.3,118669.14,84696.96,18165.46,1767.85,1,1,0,1,0,0.714,1239.31,12.47,3,Efficient Volume Handlers,,#N/A
"Campbell & Kennedy, LLP",1104348.44,203,8421.85,994.41,9333.17,12941.96,105826.61,78467.53,11770.45,836.81,1,1,1,0,0,0.741,444.52,11.34,3,Efficient Volume Handlers,"['MI', 'MI', 'OK', 'GA', 'OK', 'MA']"," - High severity with complex liability and coverage disputes.
 - Soft tissue injuries common; extensive medical documentation involved.
 - Best suited for firms experienced in complex commercial claims."
"Turner, Thompson & Carter, P.C.",84290.69,108,3558.22,560.23,2143.67,8260.68,26339.27,23089.16,6155.14,541.33,1,1,1,0,1,0.877,270.78,12.29,2,Outcome Specialists,,#N/A
"Collins, Turner & Partners",54725.29,127,5892.54,1733.63,6296.8,16132.45,56716.12,50413.09,14046.98,1458.61,0,1,1,0,0,0.889,507.56,9.01,3,Efficient Volume Handlers,"['GA', 'LA']"," - High complexity with extended litigation and multiple parties
 - Soft tissue neck and shoulder injuries frequently disputed
 - Best suited for firms experienced in complex litigation and negotiations"
"Edwards, Lewis & Partners",1628441.43,62,4503.39,805.11,3362.79,10319.88,32469.6,22216.32,8110.23,636.62,1,1,1,1,0,0.684,489.14,9.66,2,Outcome Specialists,,#N/A
"Taylor & Campbell, LLP",2079993.24,37,5448.39,272.01,2904.14,2026.58,37701.41,30867.26,1824.16,5010.63,1,0,0,1,1,0.819,883.55,12.98,2,Outcome Specialists,,#N/A
"Foster, Nelson & Thompson, P.C.",974066.77,190,5591.7,1126.62,7446.37,9100.64,72495.91,54874.05,7735.21,2255.83,1,0,1,0,0,0.757,329.52,9.74,3,Efficient Volume Handlers,"['MI', 'NJ', 'CT', 'MI']"," - Low severity, high complexity with multiple parties involved.
 - Common injuries: soft tissue, lumbar, chronic pain.
 - Extended litigation, frequent disputes, requires experienced litigation firm."
"Edwards & Parker, LLP",378157.86,84,1640.13,1866.6,1415.58,20258.05,19390.56,13505.52,18294.65,1440.9,1,0,1,1,0,0.746,378.57,13.7,0,High-Value Core Firms,,#N/A
"Jackson, Scott & Partners",837102.39,150,4524.24,2007.74,2308.66,13702.85,30670.27,22038.57,10171.29,1464.84,0,0,1,0,1,0.769,214.73,13.28,0,High-Value Core Firms,"['MI', 'GA']"," - High settlement demands, no offers or counters made.
 - Moderate bodily injury, therapy ongoing, potential exaggeration.
 - Complex claims; suited for firms with strong negotiation skills."
"Carter & Associates, LLP",2535641.05,169,4982.21,1634.4,2523.74,18794.85,33380.82,23072.13,13323.33,1109.52,1,1,0,0,0,0.691,215.36,13.23,3,Efficient Volume Handlers,['MI']," - High attorney involvement; frequent legal communications noted.
 - Soft tissue injuries; outpatient care required.
 - Coverage complexity; commercial auto endorsements under scrutiny."
