Firm Name,Paid post appeal,Case closed count,Deduction fee,Deduction expense,Billed units fee,Billed expense,Billed fee,Paid fee,Paid expense,Cycle time,L100,L200,L300,L400,L500,Win rate proxy,Cost per case,Fee per unit,Cluster,Cluster_name,state_list,Firm_Profile
"Phillips & Garcia, LLP",12.55187356,5.214935758,7.18718086,4.38614315,7.332918434,8.184123161,9.963560964,9.682330776,7.833231693,7.339661064,1,1,1,1,0,0.755,4.628691381,13.89,2,Outcome Specialists,,#N/A
"Carter, Davis & Partners",14.26837026,4.430816799,8.903826081,7.737031725,9.160861221,9.898540335,11.68410299,11.3468468,9.807332316,5.978084897,1,1,0,1,0,0.764,7.123116627,12.47,3,Efficient Volume Handlers,,#N/A
"Campbell & Kennedy, LLP",13.91476698,5.318119994,9.03870353,6.903154713,9.141437139,9.46830729,11.56956673,11.27045293,9.373432387,5.230791344,1,1,1,0,0,0.791,6.099242139,11.34,3,Efficient Volume Handlers,"['MI', 'MI', 'OK', 'GA', 'OK', 'MA']"," - High severity with complex liability and coverage disputes.
 - Soft tissue injuries common; extensive medical documentation involved.
 - Best suited for firms experienced in complex commercial claims."
"Turner, Thompson & Carter, P.C.",11.34203856,4.691347882,8.177296699,6.330130804,7.670740973,9.019383236,10.17885423,10.04716183,8.725205237,6.295874672,1,1,1,0,1,0.877,5.604992915,12.29,2,Outcome Specialists,,#N/A
"Collins, Turner & Partners",10.91009949,4.852030264,8.681612115,7.458549413,8.747955645,9.688650035,10.94583138,10.82802598,9.550233892,5.785924556,0,1,1,0,0,0.939,6.231583203,9.01,3,Efficient Volume Handlers,"['GA', 'LA']"," - High complexity with extended litigation and multiple parties
 - Soft tissue neck and shoulder injuries frequently disputed
 - Best suited for firms experienced in complex litigation and negotiations"
"Edwards, Lewis & Partners",14.30313455,4.143134726,8.412807756,6.69222021,8.120823593,9.241924307,10.38809034,10.00862744,9.0010048,6.457742495,1,1,1,1,0,0.684,6.194691065,9.66,2,Outcome Specialists,,#N/A
"Taylor & Campbell, LLP",14.54787568,3.63758616,8.603258955,5.609508425,7.974236861,7.614598243,10.5374793,10.33748375,7.509422933,8.51951649,1,0,0,1,1,0.819,6.785079041,12.98,2,Outcome Specialists,,#N/A
"Foster, Nelson & Thompson, P.C.",13.78923616,5.252273428,8.629217455,7.027864496,8.915616229,9.116209896,11.19129922,10.91281406,8.953667183,6.221716453,1,0,1,0,0,0.807,5.800667172,9.74,3,Efficient Volume Handlers,"['MI', 'NJ', 'CT', 'MI']"," - Low severity, high complexity with multiple parties involved.
 - Common injuries: soft tissue, lumbar, chronic pain.
 - Extended litigation, frequent disputes, requires experienced litigation firm."
"Edwards & Parker, LLP",12.34306965,4.442651256,7.403140308,7.532409463,7.256000795,9.916356886,9.872593199,9.510927811,9.814418606,7.273716967,1,0,1,1,0,0.696,5.939039033,13.7,0,High-Value Core Firms,,#N/A
"Jackson, Scott & Partners",13.13770287,5.017279837,8.417425893,7.605262939,7.744855607,9.525432094,10.33108166,10.00059475,9.227422636,7.290183736,0,0,1,0,1,0.719,5.374027626,13.28,0,High-Value Core Firms,"['MI', 'GA']"," - High settlement demands, no offers or counters made.
 - Moderate bodily injury, therapy ongoing, potential exaggeration.
 - Complex claims; suited for firms with strong negotiation skills."
"Carter & Associates, LLP",14.74595744,5.135798437,8.513829541,7.399642702,7.833893366,9.84139138,10.41576672,10.04642402,9.497346966,5.512583653,1,1,0,0,0,0.741,5.376943687,13.23,3,Efficient Volume Handlers,['MI']," - High attorney involvement; frequent legal communications noted.
 - Soft tissue injuries; outpatient care required.
 - Coverage complexity; commercial auto endorsements under scrutiny."
"Turner, Phillips & Partners",14.04512142,2.772588722,8.361656885,5.767633259,8.486867996,9.501460278,10.98673118,10.75315225,9.218858985,7.63382937,1,0,0,0,1,0.792,8.240575021,12.18,1,High-Cost/ Underperformers,,#N/A
"White, Scott & Parker, P.C.",13.24006837,3.891820298,7.47439775,6.521180618,8.529823097,8.658255158,10.76594028,10.46166259,8.366505176,7.151869403,1,1,1,0,1,0.738,6.707681072,9.36,2,Outcome Specialists,,#N/A
"Hughes, Martin & Partners",12.29359829,4.33073334,9.078069898,6.487668798,8.745257416,8.966278296,11.10775751,10.75054996,8.818513341,6.446168064,0,0,0,1,1,0.75,6.569705799,10.62,3,Efficient Volume Handlers,['MI']," - Moderate bodily injury severity; therapy ongoing.  
 - Coverage disputes; commercial auto endorsements under review.  
 - High complexity; unresolved claims and billing issues present."
"Parker & Associates, LLP",11.56325097,4.890349128,6.437879642,6.694636313,6.992197525,9.308723099,9.297093132,8.967344817,9.116918309,7.106745472,1,0,0,1,1,0.719,4.862908382,10.03,0,High-Value Core Firms,['AR']," - Low severity, soft tissue neck injury claims
 - High attorney representation; external counsel involvement
 - Suitable for firms experienced in negotiation and settlement"
"Nelson, Carter & Partners",14.04688281,4.369447852,10.45289859,5.688431922,10.63153483,10.23362692,12.9549717,12.57908229,9.889977704,6.016144904,0,0,0,1,1,0.737,8.288350933,10.21,3,Efficient Volume Handlers,"['LA', 'CT', 'MI']"," - High complexity with unresolved claims and liability disputes  
 - Chronic pain and long-term disability claims prevalent  
 - Best suited for firms with strong negotiation and litigation skills"
"Thompson, Henderson & Roberts, P.C.",13.62870513,5.293304825,8.816774684,6.721353409,9.089945178,9.090621714,11.63971,11.24366899,9.011482033,5.531599906,1,1,1,0,1,0.723,6.059637082,12.81,3,Efficient Volume Handlers,"['OK', 'MI', 'MA', 'MI', 'OK']"," - Moderate severity with extensive documentation and litigation.
 - Soft tissue injuries common; therapy ongoing.
 - Complex claims require experienced litigation-focused law firms."
"Young & Thompson, LLP",13.61920381,5.192956851,9.55344911,6.772634052,9.111591286,9.165212244,11.43487041,11.10961972,8.976867405,6.331629186,1,1,0,1,1,0.772,6.036605203,10.21,3,Efficient Volume Handlers,"['GA', 'FL', 'OH', 'MI', 'MD', 'MI', 'NY']"," - Moderate severity, frequent soft tissue and back injuries.
 - High attorney involvement, extended litigation and negotiation.
 - Suited for firms with strong litigation and negotiation skills."
"Phillips, Roberts & Partners",12.51428307,4.718498871,7.97980454,6.517818972,8.490156985,8.521766717,10.73738966,10.38197633,8.264061971,8.109164801,1,1,1,0,0,0.701,5.789042319,9.46,2,Outcome Specialists,['MI']," - Extended litigation with stalled negotiations and ongoing medical monitoring  
 - Soft tissue neck injury with late-introduced treatments  
 - Best suited for firms experienced in complex, multi-vehicle claims"
"Young & White, LLP",14.04496739,5.313205979,8.248926743,6.941721829,8.317897994,8.960439516,10.80185604,10.48964734,8.879508598,6.93358547,1,1,1,1,0,0.782,5.368216494,11.99,3,Efficient Volume Handlers,"['PA', 'MI', 'MI']"," - High complexity with extended litigation and documentation required.
 - Multiple injuries, including soft tissue and unknown, involved.
 - Best suited for firms experienced in commercial liability disputes."
"Murphy & Williams, LLP",12.17658204,4.477336814,8.54741391,6.700448167,7.946861695,9.173543599,10.29697049,9.882672413,9.103920406,7.813409645,1,1,1,1,0,0.661,5.797485303,10.49,2,Outcome Specialists,,#N/A
